"id","title","abstract","publication_year","topics","topic_ids","primary_topic","concepts"
"W3119962516","Fake news detection: A hybrid CNN-RNN based deep learning approach","The explosion of social media allowed individuals to spread information without cost, with little investigation and fewer filters than before. This amplified the old problem of fake news, which became a major concern nowadays due to the negative impact it brings to the communities. In order to tackle the rise and spreading of fake news, automatic detection techniques have been researched building on artificial intelligence and machine learning. The recent achievements of deep learning techniques in complex natural language processing tasks, make them a promising solution for fake news detection too. This work proposes a novel hybrid deep learning model that combines convolutional and recurrent neural networks for fake news classification. The model was successfully validated on two fake news datasets (ISO and FA-KES), achieving detection results that are significantly better than other non-hybrid baseline methods. Further experiments on the generalization of the proposed model across different datasets, had promising results.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Computer science"", ""Deep learning"", ""Fake news"", ""Convolutional neural network"", ""Artificial intelligence"", ""Generalization"", ""Baseline (sea)"", ""Machine learning"", ""Recurrent neural network"", ""Social media"", ""Artificial neural network"", ""World Wide Web"", ""Geology"", ""Mathematical analysis"", ""Internet privacy"", ""Oceanography"", ""Mathematics""]"
"W3153567752","User Preference-aware Fake News Detection","Disinformation and fake news have posed detrimental effects on individuals and society in recent years, attracting broad attention to fake news detection. The majority of existing fake news detection algorithms focus on mining news content and/or the surrounding exogenous context for discovering deceptive signals; while the endogenous preference of a user when he/she decides to spread a piece of fake news or not is ignored. The confirmation bias theory has indicated that a user is more likely to spread a piece of fake news when it confirms his/her existing beliefs/preferences. Users' historical, social engagements such as posts provide rich information about users' preferences toward news and have great potentials to advance fake news detection. However, the work on exploring user preference for fake news detection is somewhat limited. Therefore, in this paper, we study the novel problem of exploiting user preference for fake news detection. We propose a new framework, UPFD, which simultaneously captures various signals from user preferences by joint content and graph modeling. Experimental results on real-world datasets demonstrate the effectiveness of the proposed framework. We release our code and data as a benchmark for GNN-based fake news detection: https://github.com/safe-graph/GNN-FakeNews.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Sentiment Analysis and Opinion Mining""]","[""T11147"", ""T11644"", ""T10664""]","Misinformation and Its Impacts","[""Computer science"", ""Disinformation"", ""Fake news"", ""Preference"", ""Focus (optics)"", ""Context (archaeology)"", ""Social media"", ""Benchmark (surveying)"", ""Internet privacy"", ""Information retrieval"", ""World Wide Web"", ""Microeconomics"", ""Physics"", ""Paleontology"", ""Geodesy"", ""Economics"", ""Optics"", ""Geography"", ""Biology""]"
"W3093031973","Fake News Detection Using Machine Learning Ensemble Methods","The advent of the World Wide Web and the rapid adoption of social media platforms (such as Facebook and Twitter) paved the way for information dissemination that has never been witnessed in the human history before. With the current usage of social media platforms, consumers are creating and sharing more information than ever before, some of which are misleading with no relevance to reality. Automated classification of a text article as misinformation or disinformation is a challenging task. Even an expert in a particular domain has to explore multiple aspects before giving a verdict on the truthfulness of an article. In this work, we propose to use machine learning ensemble approach for automated classification of news articles. Our study explores different textual properties that can be used to distinguish fake contents from real. By using those properties, we train a combination of different machine learning algorithms using various ensemble methods and evaluate their performance on 4 real world datasets. Experimental evaluation confirms the superior performance of our proposed ensemble learner approach in comparison to individual learners.","2020","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Computer science"", ""Misinformation"", ""Machine learning"", ""Social media"", ""Disinformation"", ""Ensemble learning"", ""Artificial intelligence"", ""Relevance (law)"", ""Domain (mathematical analysis)"", ""Task (project management)"", ""Information retrieval"", ""Data science"", ""World Wide Web"", ""Computer security"", ""Mathematical analysis"", ""Management"", ""Economics"", ""Mathematics"", ""Law"", ""Political science""]"
"W4224324956","Cross-modal Ambiguity Learning for Multimodal Fake News Detection","Cross-modal learning is essential to enable accurate fake news detection due to the fast-growing multimodal contents in online social communities. A fundamental challenge of multimodal fake news detection lies in the inherent ambiguity across different content modalities, i.e., decisions made from unimodalities may disagree with each other, which may lead to inferior multimodal fake news detection. To address this issue, we formulate the cross-modal ambiguity learning problem from an information-theoretic perspective and propose CAFE — an ambiguity-aware multimodal fake news detection method. CAFE consists of 1) a cross-modal alignment module to transform the heterogeneous unimodality features into a shared semantic space, 2) a cross-modal ambiguity learning module to estimate the ambiguity between different modalities, and 3) a cross-modal fusion module to capture the cross-modal correlations. CAFE improves fake news detection accuracy by judiciously and adaptively aggregating unimodal features and cross-modal correlations, i.e., relying on unimodal features when cross-modal ambiguity is weak and referring to cross-modal correlations when cross-modal ambiguity is strong. Experimental studies on two widely used datasets (Twitter and Weibo) demonstrate that CAFE outperforms state-of-the-art fake news detection methods by 2.2-18.9% and 1.7-11.4% on accuracy, respectively.","2022","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Sentiment Analysis and Opinion Mining""]","[""T11147"", ""T11644"", ""T10664""]","Misinformation and Its Impacts","[""Ambiguity"", ""Modal"", ""Computer science"", ""Artificial intelligence"", ""Modalities"", ""Machine learning"", ""Chemistry"", ""Programming language"", ""Social science"", ""Polymer chemistry"", ""Sociology""]"
"W3169823389","Sentiment Analysis for Fake News Detection","In recent years, we have witnessed a rise in fake news, i.e., provably false pieces of information created with the intention of deception. The dissemination of this type of news poses a serious threat to cohesion and social well-being, since it fosters political polarization and the distrust of people with respect to their leaders. The huge amount of news that is disseminated through social media makes manual verification unfeasible, which has promoted the design and implementation of automatic systems for fake news detection. The creators of fake news use various stylistic tricks to promote the success of their creations, with one of them being to excite the sentiments of the recipients. This has led to sentiment analysis, the part of text analytics in charge of determining the polarity and strength of sentiments expressed in a text, to be used in fake news detection approaches, either as a basis of the system or as a complementary element. In this article, we study the different uses of sentiment analysis in the detection of fake news, with a discussion of the most relevant elements and shortcomings, and the requirements that should be met in the near future, such as multilingualism, explainability, mitigation of biases, or treatment of multimedia elements.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Sentiment Analysis and Opinion Mining""]","[""T11147"", ""T11644"", ""T10664""]","Misinformation and Its Impacts","[""Distrust"", ""Sentiment analysis"", ""Fake news"", ""Deception"", ""Computer science"", ""Cohesion (chemistry)"", ""Social media"", ""Analytics"", ""Internet privacy"", ""False accusation"", ""Polarization (electrochemistry)"", ""Data science"", ""Political science"", ""World Wide Web"", ""Psychology"", ""Artificial intelligence"", ""Social psychology"", ""Physical chemistry"", ""Chemistry"", ""Organic chemistry"", ""Law""]"
"W3017402509","GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media","This paper solves the fake news detection problem under a more realistic scenario on social media. Given the source short-text tweet and the corresponding sequence of retweet users without text comments, we aim at predicting whether the source tweet is fake or not, and generating explanation by highlighting the evidences on suspicious retweeters and the words they concern. We develop a novel neural network-based model, Graph-aware Co-Attention Networks (GCAN), to achieve the goal. Extensive experiments conducted on real tweet datasets exhibit that GCAN can significantly outperform state-of-the-art methods by 16% in accuracy on average. In addition, the case studies also show that GCAN can produce reasonable explanations.","2020","[""Misinformation and Its Impacts"", ""Complex Network Analysis Techniques"", ""Topic Modeling""]","[""T11147"", ""T10064"", ""T10028""]","Misinformation and Its Impacts","[""Computer science"", ""Attention network"", ""Social media"", ""Graph"", ""Fake news"", ""Information retrieval"", ""Artificial neural network"", ""Social network (sociolinguistics)"", ""Social network analysis"", ""Artificial intelligence"", ""Machine learning"", ""Theoretical computer science"", ""World Wide Web"", ""Internet privacy""]"
"W3138883064","Fake News Detection Using Machine Learning Approaches","Abstract The fake news on social media and various other media is wide spreading and is a matter of serious concern due to its ability to cause a lot of social and national damage with destructive impacts. A lot of research is already focused on detecting it. This paper makes an analysis of the research related to fake news detection and explores the traditional machine learning models to choose the best, in order to create a model of a product with supervised machine learning algorithm, that can classify fake news as true or false, by using tools like python scikit-learn, NLP for textual analysis. This process will result in feature extraction and vectorization; we propose using Python scikit-learn library to perform tokenization and feature extraction of text data, because this library contains useful tools like Count Vectorizer and Tiff Vectorizer. Then, we will perform feature selection methods, to experiment and choose the best fit features to obtain the highest precision, according to confusion matrix results.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Python (programming language)"", ""Computer science"", ""Artificial intelligence"", ""Lexical analysis"", ""Machine learning"", ""Feature selection"", ""Feature extraction"", ""Confusion matrix"", ""Social media"", ""Data mining"", ""World Wide Web"", ""Operating system""]"
"W3216370178","A Comprehensive Review on Fake News Detection With Deep Learning","A protuberant issue of the present time is that, organizations from different domains are struggling to obtain effective solutions for detecting online-based fake news. It is quite thought-provoking to distinguish fake information on the internet as it is often written to deceive users. Compared with many machine learning techniques, deep learning-based techniques are capable of detecting fake news more accurately. Previous review papers were based on data mining and machine learning techniques, scarcely exploring the deep learning techniques for fake news detection. However, emerging deep learning-based approaches such as Attention, Generative Adversarial Networks, and Bidirectional Encoder Representations for Transformers are absent from previous surveys. This study attempts to investigate advanced and state-of-the-art fake news detection mechanisms pensively. We begin with highlighting the fake news consequences. Then, we proceed with the discussion on the dataset used in previous research and their NLP techniques. A comprehensive overview of deep learning-based techniques has been bestowed to organize representative methods into various categories. The prominent evaluation metrics in fake news detection are also discussed. Nevertheless, we suggest further recommendations to improve fake news detection mechanisms in future research directions.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Fake news"", ""Computer science"", ""Deep learning"", ""Adversarial system"", ""Artificial intelligence"", ""Generative grammar"", ""Data science"", ""Machine learning"", ""Internet privacy""]"
"W3176713826","Multimodal Fusion with Co-Attention Networks for Fake News Detection","Fake news with textual and visual contents has a better story-telling ability than text-only contents, and can be spread quickly with social media. People can be easily deceived by such fake news, and traditional expert identification is labor-intensive. Therefore, automatic detection of multimodal fake news has become a new hot-spot issue. A shortcoming of existing approaches is their inability to fuse multimodality features effectively. They simply concatenate unimodal features without considering inter-modality relations. Inspired by the way people read news with image and text, we propose a novel Multimodal Co-Attention Networks (MCAN) to better fuse textual and visual features for fake news detection. Extensive experiments conducted on two realworld datasets demonstrate that MCAN can learn inter-dependencies among multimodal features and outperforms state-of-the-art methods.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Topic Modeling""]","[""T11147"", ""T11644"", ""T10028""]","Misinformation and Its Impacts","[""Computer science"", ""Sensor fusion"", ""Fusion"", ""Artificial intelligence"", ""Linguistics"", ""Philosophy""]"
"W3210022786","MDFEND: Multi-domain Fake News Detection","Fake news spread widely on social media in various domains, which lead to real-world threats in many aspects like politics, disasters, and finance. Most existing approaches focus on single-domain fake news detection (SFND), which leads to unsatisfying performance when these methods are applied to multi-domain fake news detection. As an emerging field, multi-domain fake news detection (MFND) is increasingly attracting attention. However, data distributions, such as word frequency and propagation patterns, vary from domain to domain, namely domain shift. Facing the challenge of serious domain shift, existing fake news detection techniques perform poorly for multi-domain scenarios. Therefore, it is demanding to design a specialized model for MFND. In this paper, we first design a benchmark of fake news dataset for MFDN with domain label annotated, namely Weibo21, which consists of 4,488 fake news and 4,640 real news from 9 different domains. We further propose an effective Multi-domain Fake News Detection Model (MDFEND) by utilizing domain gate to aggregate multiple representations extracted by a mixture of experts. The experiments show that MDFEND can significantly improve the performance of multi-domain fake news detection. Our dataset and code are available at https://github.com/kennqiang/MDFEND-Weibo21.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Topic Modeling""]","[""T11147"", ""T11644"", ""T10028""]","Misinformation and Its Impacts","[""Domain (mathematical analysis)"", ""Computer science"", ""Benchmark (surveying)"", ""Social media"", ""Fake news"", ""Focus (optics)"", ""Aggregate (composite)"", ""World Wide Web"", ""Internet privacy"", ""Geography"", ""Optics"", ""Geodesy"", ""Mathematics"", ""Mathematical analysis"", ""Materials science"", ""Physics"", ""Composite material""]"
